d,success,2021-03-06 17:40:07+0300,2021-03-06 17:40:05+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFCHAYU5BMS,vmta_d_5222_217.25.89.216,1,0_5222_0_0,juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:45:10+0300,2021-03-06 17:45:08+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFMYANS3GJA,vmta_d_5222_217.25.89.216,1,0_5222_0_0,juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:50:16+0300,2021-03-06 17:50:14+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFXJAFQC9RS,vmta_d_5222_217.25.89.216,1,0_5222_0_0,juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:51:03+0300,2021-03-06 17:51:01+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFYZAPZ7KWJ,vmta_d_5222_217.25.89.216,1,20054_5222_25_222,Juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:51:03+0300,2021-03-06 17:51:01+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFYZACJCF5J,vmta_d_5222_217.25.89.216,1,20054_5222_5_222,Juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:51:03+0300,2021-03-06 17:51:01+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFYZAKZN2CJ,vmta_d_5222_217.25.89.216,1,20054_5222_21_222,Juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:51:03+0300,2021-03-06 17:51:01+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFYZAU4XTYJ,vmta_d_5222_217.25.89.216,1,20054_5222_13_222,Juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:51:04+0300,2021-03-06 17:51:01+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFYZAM8VHGS,vmta_d_5222_217.25.89.216,1,20054_5222_22_222,Juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:51:04+0300,2021-03-06 17:51:01+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFYZAWVPDMJ,vmta_d_5222_217.25.89.216,1,20054_5222_4_222,Juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:51:04+0300,2021-03-06 17:51:01+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFY2ALXQPSJ,vmta_d_5222_217.25.89.216,1,20054_5222_46_222,Juno.com/vmta_d_5222_217.25.89.216
d,success,2021-03-06 17:51:04+0300,2021-03-06 17:51:01+0300,newsletter@ebuyclub.com,relayed,2.0.0 (success),smtp;250 OK id AABSEHFY2A24XPG2,vmta_d_5222_217.25.89.216,1,20054_5222_52_222,Juno.com/vmta_d_5222_217.25.89.216
